id,2024-03-31,2024-04-01,2024-04-02,2024-04-03,2024-04-04,2024-04-05,2024-04-06,2024-04-07,2024-04-08,2024-04-09,2024-04-10,2024-04-11,2024-04-12,2024-04-13,2024-04-14,2024-04-15,2024-04-16
MLA1424743050,7526.0,7526.0,7526.0,7526.0,7526.0,7526.0,7526.0,7526.0,7526.0,7526.0,7526.0,7526.0,7526.0,7526.0,7526.0,7526.0,7526.0
MLA1399403925,24999.0,24999.0,24999.0,24999.0,24999.0,24999.0,24999.0,24999.0,24999.0,24999.0,24999.0,24999.0,24999.0,24999.0,24999.0,24999.0,24999.0
MLA1300058293,4540.05,4779.0,4779.0,4779.0,4779.0,5977.0,5977.0,5977.0,5977.0,5977.0,5977.0,5977.0,5977.0,5977.0,5977.0,5977.0,5977.0
MLA1553846394,10038.0,10038.0,10038.0,10038.0,10038.0,10038.0,10038.0,10038.0,10038.0,10038.0,10038.0,10038.0,10038.0,10038.0,10038.0,10038.0,10038.0
MLA1146610537,18398.85,18398.85,18398.85,18398.85,18398.85,18398.85,18398.85,18398.85,18398.85,18398.85,18398.85,18398.85,18398.85,18398.85,18398.85,18398.85,18398.85
MLA1504421832,22901.0,22901.0,22901.0,22901.0,22901.0,22901.0,22901.0,22901.0,22901.0,22901.0,22901.0,22901.0,22901.0,22901.0,22901.0,22901.0,22901.0
MLA1563186210,18060.0,18060.0,18060.0,18060.0,18060.0,18060.0,18060.0,18060.0,18060.0,18060.0,18060.0,18060.0,18060.0,18060.0,18060.0,18060.0,18060.0
MLA1405292273,27290.0,27290.0,27290.0,27290.0,27290.0,27290.0,27290.0,27290.0,27290.0,27290.0,27290.0,27290.0,27290.0,27290.0,27290.0,27290.0,27290.0
MLA1481642858,13083.0,13083.0,13083.0,13083.0,13083.0,13083.0,13083.0,13083.0,13083.0,13083.0,13083.0,13083.0,13083.0,13083.0,13083.0,13083.0,13083.0
MLA1395418665,9290.0,9290.0,9290.0,9290.0,9290.0,9290.0,9290.0,9290.0,9290.0,9290.0,9290.0,9290.0,9290.0,9290.0,9290.0,12387.0,12387.0
MLA1593093744,12532.0,12532.0,12532.0,12532.0,12532.0,12532.0,12532.0,12532.0,12532.0,12532.0,12532.0,12532.0,12532.0,12532.0,12532.0,12532.0,12532.0
MLA1297496720,9695.0,9695.0,9695.0,11312.0,16168.0,11312.0,11312.0,11312.0,11312.0,11312.0,11312.0,11312.0,11312.0,11312.0,11312.0,11312.0,10394.0
MLA1481642844,10178.0,10178.0,10178.0,10178.0,10178.0,10178.0,10178.0,10178.0,10178.0,10178.0,10178.0,10178.0,10178.0,10178.0,10178.0,10178.0,10178.0
MLA1481642862,10850.0,10850.0,10850.0,10850.0,10850.0,10850.0,10850.0,10850.0,10850.0,10850.0,10850.0,10850.0,10850.0,10850.0,10850.0,10850.0,10850.0
MLA1297540112,9716.0,9716.0,9716.0,9716.0,9716.0,9716.0,9716.0,9716.0,9716.0,9716.0,9716.0,9716.0,3886.0,3886.0,3886.0,3886.0,3886.0
MLA1600736814,21429.0,21429.0,21429.0,21429.0,21429.0,21429.0,21429.0,19999.0,21429.0,18571.0,21429.0,19999.0,19999.0,19999.0,19999.0,19999.0,21429.0
MLA1411701702,22445.0,22445.0,22445.0,22445.0,22445.0,22445.0,22445.0,22445.0,22445.0,22445.0,22445.0,22445.0,22445.0,22445.0,22445.0,22445.0,22445.0
MLA1364682985,28572.0,28572.0,28572.0,28572.0,28572.0,28572.0,28572.0,28572.0,28572.0,28572.0,28572.0,28572.0,28572.0,28572.0,28572.0,28572.0,28572.0
MLA1464451478,14538.0,14538.0,14538.0,14538.0,14538.0,14538.0,14538.0,14538.0,14538.0,14538.0,14538.0,14538.0,14538.0,14538.0,14538.0,14538.0,14538.0
MLA1525170596,9914.0,9914.0,9914.0,9914.0,9914.0,9914.0,9914.0,9914.0,9914.0,9914.0,9914.0,9914.0,3966.0,3966.0,3966.0,3966.0,3966.0
MLA1481681506,10850.0,10850.0,10850.0,10850.0,10850.0,10850.0,10850.0,10850.0,10850.0,10850.0,10850.0,10850.0,10850.0,10850.0,10850.0,10850.0,10850.0
MLA1399005397,4433.0,4433.0,4433.0,4433.0,4433.0,4433.0,4433.0,4433.0,4433.0,4433.0,4433.0,4433.0,4433.0,4433.0,4433.0,4433.0,4433.0
MLA1383078685,13322.0,13322.0,13322.0,13322.0,13322.0,13322.0,13322.0,13322.0,13322.0,13322.0,13322.0,13322.0,13322.0,13322.0,13322.0,13322.0,13322.0
MLA1470709806,20407.0,20407.0,20407.0,20407.0,20407.0,20407.0,20407.0,20407.0,20407.0,19047.0,20407.0,20407.0,20407.0,20407.0,20407.0,27210.0,20407.0
MLA1600697884,21429.0,21429.0,21429.0,21429.0,21429.0,21429.0,21429.0,19999.0,21429.0,18571.0,21429.0,19999.0,19999.0,19999.0,19999.0,19999.0,21429.0
MLA1522257762,52900.0,52900.0,52900.0,48900.0,48900.0,48900.0,48900.0,48900.0,48900.0,48900.0,48900.0,48900.0,48900.0,48900.0,48900.0,48900.0,48900.0
MLA1272835113,22445.0,22445.0,22445.0,22445.0,22445.0,22445.0,22445.0,22445.0,22445.0,20948.0,22445.0,22445.0,22445.0,22445.0,22445.0,22445.0,22445.0
MLA1481642864,13083.0,13083.0,13083.0,13083.0,13083.0,13083.0,13083.0,13083.0,13083.0,13083.0,13083.0,13083.0,13083.0,13083.0,13083.0,13083.0,13083.0
MLA1396988755,12690.0,12690.0,12690.0,6345.0,6345.0,6345.0,6345.0,6345.0,6345.0,6345.0,6345.0,6345.0,6345.0,6345.0,6345.0,6345.0,6345.0
MLA1412957817,67609.0,67609.0,67609.0,62675.0,62675.0,62675.0,62675.0,62675.0,62675.0,62675.0,62675.0,62675.0,62675.0,62675.0,62675.0,62675.0,62675.0
MLA1580957464,17175.0,17175.0,17175.0,17175.0,17175.0,17175.0,17175.0,17175.0,17175.0,17175.0,17175.0,17175.0,17175.0,17175.0,17175.0,17175.0,17175.0
MLA1484042036,20754.0,20754.0,20754.0,20754.0,20754.0,20754.0,17639.0,17639.0,17639.0,16603.0,20754.0,17639.0,17639.0,17639.0,17639.0,17639.0,20754.0
