id,2023-09-24,2023-09-28,2023-09-29
MLA842892875,6799.0,6799.0,6999.0
MLA695882414,19470.0,19470.0,19470.0
MLA822926844,16958.43,16958.43,16958.43
MLA1410009576,10998.0,10998.0,13997.9
MLA905004400,14999.0,14999.0,15299.0
MLA843326053,2299.0,2299.0,2299.0
MLA903849808,10500.0,10500.0,10500.0
MLA1464184526,30672.0,30672.0,30672.0
MLA1376371941,43174.0,43174.0,59242.0
MLA1220912737,16300.0,16300.0,16300.0
MLA868721668,7999.0,7999.0,7999.0
MLA1145575619,129174.21,129174.21,151969.66
MLA617129505,9999.0,9999.0,9999.0
MLA1317531564,7999.0,7999.0,7999.0
MLA864653536,18599.0,18599.0,17362.0
MLA822992038,31340.0,31340.0,31340.0
MLA1482859310,22304.35,22304.35,22304.35
MLA1385843073,29040.0,29040.0,29040.0
MLA1317493403,4199.0,4199.0,4199.0
MLA1465485210,37999.0,37999.0,35999.0
MLA1480059216,13990.0,13990.0,13990.0
MLA931151429,47249.0,47249.0,46299.0
MLA674679646,3900.0,3900.0,3980.0
MLA793157324,2625.0,2625.0,2625.0
MLA1291742802,2549.0,2549.0,2549.0
MLA1149675679,45360.0,45360.0,45360.0
MLA1255044872,22399.44,22399.44,38999.0
MLA1446888958,46577.0,46577.0,42120.0
MLA882993682,12935.0,12935.0,12935.0
MLA1458127860,47289.99,47289.99,47289.99
MLA935366139,63199.0,63199.0,56879.1
MLA935661345,2630.0,2630.0,2630.0
MLA1378531803,17565.0,17565.0,17565.0
MLA633361723,28900.0,28900.0,28900.0
MLA1382737825,32999.0,32999.0,32999.0
MLA620897417,47800.0,47800.0,47800.0
MLA1317525883,7999.0,7999.0,7999.0
MLA1291717598,2549.0,2549.0,2549.0
MLA1255237871,67999.0,67999.0,78999.0
MLA607281338,11695.5,11695.5,11695.5
MLA931148378,28399.0,28399.0,28399.0
MLA659471972,31300.0,31300.0,31300.0
MLA1249817133,20999.0,20999.0,20599.0
MLA611278372,28415.0,28415.0,28415.0
MLA1288026559,18299.0,18299.0,18299.0
MLA1142078267,93209.0,93209.0,97539.0
MLA1156292614,74200.0,74200.0,74200.0
MLA1132359787,112839.0,112839.0,112839.0
MLA1376234504,21999.0,21999.0,21999.0
MLA931152449,40249.0,40249.0,40249.0
MLA743112420,43091.7,43091.7,43091.7
MLA1445111428,2367.0,2367.0,2630.0
MLA659474311,31300.0,31300.0,31300.0
MLA872666667,8884.29,8884.29,7642.0
MLA749461449,3630.0,3630.0,3630.0
MLA720774653,3168.0,3168.0,3168.0
MLA618165761,28900.0,28900.0,28900.0
MLA713210953,2360.0,2360.0,2360.0
MLA1190261765,28080.0,28080.0,28080.0
MLA1372342759,1350.0,1350.0,1350.0
MLA919008725,27727.0,27727.0,30411.0
MLA693440388,5750.0,5750.0,5750.0
MLA765659635,14455.0,14455.0,14455.0
